,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OWS,DWS,WS,OBPM,DBPM,BPM,VORP,Year,UID,Salary,Cap%
20,Jeff Ayres,PF,25,IND,37,0,10.0,1.6,3.4,0.1,0.1,1.6,3.3,0.6,0.6,0.8,2.0,2.8,0.4,0.2,0.3,0.6,1.2,3.9,0.3,0.7,1.0,-1.9,0.9,-1.0,0.1,2013,pendeje02,  1500000 ,0.025562807818810818
21,Luke Babbitt,PF,23,POR,62,0,11.8,1.4,3.8,1.0,2.9,0.4,0.9,0.2,0.2,0.2,2.0,2.2,0.5,0.2,0.1,0.4,1.3,3.9,0.3,0.4,0.7,-1.7,-0.7,-2.4,-0.1,2013,babbilu01,  1892280 ,0.03224799331958622
22,Leandro Barbosa,PG,30,BOS,41,2,12.5,2.0,4.7,0.4,1.1,1.6,3.6,0.8,1.0,0.2,0.9,1.1,1.4,0.4,0.1,0.5,1.2,5.2,0.4,0.5,0.9,-1.0,0.3,-0.7,0.2,2013,barbole01,  1229255 ,0.020948806216874862
23,J.J. Barea,PG,28,MIN,74,2,23.1,4.3,10.2,1.3,3.8,3.0,6.5,1.4,1.8,0.5,2.3,2.8,4.0,0.4,0.0,2.0,1.8,11.3,0.8,1.0,1.9,0.7,-1.3,-0.6,0.6,2013,bareajo01,  4493500 ,0.0765776512892176
24,Andrea Bargnani,PF,27,TOR,35,25,28.7,4.9,12.2,1.1,3.5,3.8,8.7,1.9,2.2,0.7,2.9,3.7,1.1,0.6,0.7,1.5,1.8,12.7,-0.5,0.6,0.1,-1.1,-1.6,-2.7,-0.2,2013,bargnan01,  10000000 ,0.17041871879207213
25,Harrison Barnes,SF,20,GSW,81,81,25.4,3.4,7.8,0.6,1.8,2.8,6.0,1.8,2.3,0.7,3.5,4.1,1.2,0.6,0.2,1.2,1.7,9.2,0.9,1.9,2.8,-1.6,-0.1,-1.7,0.1,2013,barneha02,  2798040 ,0.04768383919289695
26,Matt Barnes,SF,32,LAC,80,4,25.7,3.9,8.4,1.4,4.1,2.5,4.4,1.1,1.5,1.4,3.2,4.6,1.5,1.0,0.8,1.1,2.9,10.3,3.5,2.8,6.3,1.1,0.7,1.8,2.0,2013,barnema02,  1229255 ,0.020948806216874862
27,Earl Barron,C,31,TOT,12,2,13.3,1.5,4.3,0.0,0.0,1.5,4.3,0.3,0.6,1.8,3.3,5.1,0.4,0.4,0.5,0.9,2.0,3.3,-0.3,0.3,0.0,-6.7,-1.2,-7.9,-0.2,2013,barroea01,  358600 ,0.006111215255883706
28,Will Barton,SG,22,POR,73,5,12.2,1.6,4.2,0.1,0.9,1.5,3.3,0.7,0.9,0.5,1.5,2.0,0.8,0.5,0.1,0.8,0.8,4.0,-1.1,0.6,-0.5,-4.0,-0.6,-4.6,-0.6,2013,bartowi01,  550000 ,0.009373029533563967
29,Brandon Bass,PF,27,BOS,81,69,27.6,3.5,7.3,0.0,0.0,3.5,7.2,1.6,1.9,1.6,3.7,5.2,1.0,0.5,0.8,1.0,2.3,8.7,2.0,2.7,4.7,-1.9,0.0,-1.9,0.1,2013,bassbr01,  6000000 ,0.10225123127524327
